timestamp,open,high,low,close,volume
2024-10-25 00:00:00,68187.03,68256.77,67850.18,68015.61,45.99883475
2024-10-25 04:00:00,68023.68,68044.54,67254.0,67476.08,61.42848461
2024-10-25 08:00:00,67494.65,68146.85,67335.43,68100.88,63.1704302
2024-10-25 12:00:00,68108.49,68728.77,67434.31,67733.37,179.82973793
2024-10-25 16:00:00,67732.86,67857.04,66012.39,66864.35,246.77151585
2024-10-25 20:00:00,66864.36,67394.74,65600.0,66735.75,192.36398579
2024-10-26 00:00:00,66728.72,67000.0,66440.05,66896.7,89.82206407
2024-10-26 04:00:00,66896.71,67218.5,66780.08,67004.06,63.16994309
2024-10-26 08:00:00,67004.05,67246.44,66903.3,67119.69,60.25793174
2024-10-26 12:00:00,67119.69,67145.71,66772.72,66896.85,59.42057936
2024-10-26 16:00:00,66896.84,67180.66,66808.37,67154.39,53.70628554
2024-10-26 20:00:00,67158.94,67423.56,67084.09,67084.09,46.38955772
2024-10-27 00:00:00,67084.1,67297.89,66959.34,67283.84,28.12906407
2024-10-27 04:00:00,67283.84,67292.2,67130.15,67199.5,36.79836121
2024-10-27 08:00:00,67199.5,67233.34,67051.0,67118.57,37.07933876
2024-10-27 12:00:00,67118.57,67820.54,67113.66,67767.97,87.50522377
2024-10-27 16:00:00,67767.97,67988.06,67541.73,67795.56,91.30828231
2024-10-27 20:00:00,67795.56,68350.0,67744.07,68011.5,93.25462137
2024-10-28 00:00:00,68011.5,68086.35,67660.35,67713.28,37.9401418
2024-10-28 04:00:00,67713.28,68645.0,67624.55,68426.63,116.26354031
2024-10-28 08:00:00,68426.68,68800.0,68222.18,68743.96,129.59546771
2024-10-28 12:00:00,68725.88,69250.0,68434.44,68499.87,218.48575909
2024-10-28 16:00:00,68499.88,69878.99,68469.93,69597.11,244.64809905
2024-10-28 20:00:00,69597.14,70216.61,69422.01,69940.3,196.40885822
2024-10-29 00:00:00,69940.3,71600.0,69756.99,70926.98,261.63504157
2024-10-29 04:00:00,70926.99,71363.5,70830.21,70966.76,234.9152777
2024-10-29 08:00:00,70997.09,71592.63,70966.25,71443.51,200.65455168
2024-10-29 12:00:00,71443.45,72400.0,70856.43,72396.59,263.7308807
2024-10-29 16:00:00,72368.35,73600.0,72319.61,72524.67,366.97960994
2024-10-29 20:00:00,72543.99,72951.03,71817.7,72732.97,176.80688614
2024-10-30 00:00:00,72732.96,72750.0,72018.79,72226.83,74.13224311
